basket_product_unit_id,basket_id,product_id,product_name,product_quantity,product_unit_price,product_total_price
1,1,194,Probiyotik - 194,3,1030.205027747235,3090.6150832417047
2,1,54,Konforlu Koltuk Takımı - 54,3,783.1582950408088,2349.4748851224263
3,1,180,Nemlendirici Serum - 180,2,165.3378014997706,330.6756029995412
4,1,12,Kamp Sandalyesi L - 12,3,535.4478839118046,1606.343651735414
5,2,62,Aksiyon Kamerası - 62,1,481.49193203582934,481.49193203582934
6,2,31,Suç ve Ceza Kitabı M - 31,3,711.229607973044,2133.688823919132
7,2,167,Çocuk Hikaye Kitabı - 167,3,414.3425474451264,1243.0276423353791
8,3,155,Konforlu Koltuk Takımı - 155,1,947.700027812887,947.700027812887
9,3,29,Ergonomic Keyboard - 29,3,447.40114273134344,1342.2034281940303
10,3,119,Wireless Gaming Mouse - 119,2,558.1252919118301,1116.2505838236602
11,4,148,Klasik Roman - 148,2,679.0964335076915,1358.192867015383
12,4,171,4K Kameralı Drone - 171,3,786.0959533274704,2358.287859982411
13,4,10,Erkek Kot H - 10,3,938.2137911806248,2814.641373541874
14,4,139,C Vitamini Takviyesi P - 139,2,72.4606877007042,144.9213754014084
15,4,69,Doğal Sabun - 69,2,222.09441584349017,444.18883168698034
16,4,4,Kadın Elbise G - 4,3,914.6688976215332,2744.0066928645997
17,4,32,Bitkisel Şampuan - 32,3,497.1565637078938,1491.4696911236813
18,5,151,Su Matarası - 151,3,374.87775641508085,1124.6332692452424
19,5,82,Ultra Hafif Tablet B - 82,1,577.5120895518813,577.5120895518813
20,6,93,Slim Fit Jeans - 93,3,768.8171105257526,2306.451331577258
21,6,4,Kadın Elbise G - 4,2,914.6688976215332,1829.3377952430665
22,6,30,Kamp Çadırı - 30,2,861.6880719116785,1723.376143823357
23,6,1,Ergonomic Keyboard - 1,3,362.64880423911603,1087.946412717348
24,6,43,Robot Vacuum Cleaner - 43,3,243.25417384737864,729.7625215421359
25,6,99,Bahçe Makası R - 99,2,468.64991551181475,937.2998310236295
26,6,73,Konforlu Koltuk Takımı - 73,3,628.1817687244081,1884.5453061732244
27,6,200,Kamp Sandalyesi L - 200,3,313.512494830071,940.5374844902129
28,6,25,Omega-3 Kapsül - 25,1,512.4238514017576,512.4238514017576
29,6,42,Fütüristik Mutfak Robotu J - 42,3,864.1423473398861,2592.427042019658
30,7,122,Multi-Vitamin Takviyesi - 122,1,476.6176835958859,476.6176835958859
31,7,10,Erkek Kot H - 10,1,938.2137911806248,938.2137911806248
